Order,AlphaPop,FamilyNum,Population,Family,Dam,Sire,Rep,Treatment,TempTrt,WaterTrt,Block,Col,Row,GermDate,MinGermDay,MaxGermDay,Transplant,,LLL_0512,LLL_0515,LLL_0520,LLL_0523,LLL_0526,LLL_0529,LLL_0602,LLL_0605,LLL_0609,LLL_0612,Notes,UseForLLLGrowth,Height_0529,Height_0602,Height_0605,Height_0609,Height_0612,Height_0616,Height_0620,UseForHeightGrowth,,WiltStatus_0612,Flower Date,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,Flwr Notes,,LeafCollectionDate,UppTrichomeNo,LowTrichomeNo,Length_mm,LeafNotes1,LeafFW_g,LeafDW_g,LeafNotes2,LeafArea_cm2,,DiedFromStress,HarvestDate,NFlwr,Nbud,HarvestNotes,UseForBiomass,LeavesDW_g,ShootsDW_g,RootsDW_g,Notes,,,,,,,,,FlowerDate,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,FlwrNotes,,,,,,,,,,,,,
117,6,9,Little Jameson,LIJ9,AA1384,AA1379,A,Hot/Dry,Hot,Dry,MM5-1,A,1,plain,6,7,N,,1.97,3.85,12.68,19.45,34.05,45.19,53.5,62,NA,NA,,TRUE,0.4,2.2,NA,7.5,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,NA,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
135,7,3,Middle Yuba,MYU3,JP0619,JP0624,A,Hot/Dry,Hot,Dry,MM5-1,B,1,no toothpick; germination,12,17,N,,< 1,1.11,7.78,16.44,22.3,27.32,31.7,21,NA,NA,showing signs of stress; died ,TRUE,0,0.5,NA,NA,NA,NA,NA,FALSE,,NA,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
51,8,3,Mill Creek,MIL3,EH0053,EH0057,A,Hot/Dry,Hot,Dry,MM5-1,C,1,plain,6,7,N,,4.12,9.54,18.74,34.15,38.88,50.57,61.6,68.6,NA,NA,,TRUE,3.3,6,NA,14,13.5,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
131,9,7,North Fork Middle Tule,NMT7,EH0014,AA1519,B,Hot/Dry,Hot,Dry,MM5-1,D,1,green,8,8,N,,< 1,1.08,7.5,14.13,19.44,32.84,38.9,42.1,NA,NA,,TRUE,0,1,NA,7.2,8.5,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
179,10,3,Paradise Creek,PRD3,AA1427,AA1428,B,Hot/Dry,Hot,Dry,MM5-1,E,1,yellow,10,10,N,,0.62,2.05,9.96,16.06,24.67,30.8,42.4,34.8,NA,NA,,TRUE,0,0.5,NA,7.8,8,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
181,11,1,Rainbow Pool,RBW1,AA0656,AA0563,A,Hot/Dry,Hot,Dry,MM5-1,F,1,plain,6,7,N,,3.18,10.72,23.82,38.17,53.88,73.79,84.3,109.9,NA,NA,,TRUE,3.1,9,NA,14.2,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
69,12,7,Redwood Creek,RWD7,EH0007,EH0006,B,Hot/Dry,Hot,Dry,MM5-1,G,1,plain,6,7,N,,3.16,7.17,16.53,18.93,30.46,39.09,46.5,63.8,NA,NA,,TRUE,1.3,2.8,NA,12,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,7,Rock Creek,009aN1,,,A,Hot/Dry,Hot,Dry,MM5-1,H,1,red,9,9,N,,< 1,2.21,11.68,21.17,30.13,46.06,50.4,68.9,NA,NA,,TRUE,0.9,2.9,NA,19.2,19.2,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14,5,Wawona,186aC2,,,A,Hot/Dry,Hot,Dry,MM5-1,I,1,plain,6,7,N,,< 1,2.26,11.24,17.52,34.16,40.12,65.4,84.2,NA,NA,,TRUE,0.4,2.3,NA,13.5,14.5,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
105,15,9,West Fork Mojave River,WFM9,EH0024,EH0017,A,Hot/Dry,Hot,Dry,MM5-1,J,1,plain,6,7,N,,1.07,3.25,8.4,12.58,25.63,38.32,52,66.7,NA,NA,,TRUE,1.1,4.8,NA,19.5,21,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
