"","indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt","LLL_0512","LLL_0515","LLL_0520","LLL_0523","LLL_0526","LLL_0529","LLL_0602","LLL_0605","LLL_0609","LLL_0612","b0_LER","b1_LER","b2_LER","Height_0529","Height_0602","Height_0605","Height_0609","Height_0612","Height_0616","Height_0620","b0_SER","b1_SER","b2_SER","LERstart","LERend","LER_AbsGrowth","LER_RelGrowth","SERstart","SERend","SER_AbsGrowth","ID","Tleaf","Cond","Photo","resPhoto","LeavesDW_g","ShootsDW_g","RootsDW_g","Biomass","NFlwr","NBud","HarvestDate","MinGermDay","MaxGermDay","AvgGermDay","DiedFromStress","PopID"
"1","1","MM5-1","A","1","Little Jameson","LIJ9","Hot","Dry",1.97,3.85,12.68,19.45,34.05,45.19,53.5,62,NA,NA,0.645105749732938,0.270930571823827,-0.00516711796226179,0.4,2.2,NA,7.5,NA,NA,NA,-3.06624247222245,0.231036856651707,-0.00158535300382877,1.90618859754896,64.7918307826498,2.62023509104587,0.146919740729544,0.496631734371453,12.0969037498949,0.828590858251675,"MM5-1 A 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"LIJ"
"3","3","MM5-1","C","1","Mill Creek","MIL3","Hot","Dry",4.12,9.54,18.74,34.15,38.88,50.57,61.6,68.6,NA,NA,1.48028087813947,0.215193086218057,-0.00409465512528754,3.3,6,NA,14,13.5,NA,NA,-2.81815961905725,0.294225832943885,-0.00349447996316762,4.39417973662991,72.703795814635,2.84623400325021,0.116921363211156,2.23417810283132,18.0039329972293,1.12641106388557,"MM5-1 C 1",35.291931914,0.0581273582,1.1708180178,-0.563356035811144,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"MIL"
"4","4","MM5-1","D","1","North Fork Middle Tule","NMT7","Hot","Dry",NA,1.08,7.5,14.13,19.44,32.84,38.9,42.1,NA,NA,-0.673875692087357,0.370343573236114,-0.00759443989850284,0,1,NA,7.2,8.5,NA,NA,-3.06544272946636,0.202104075166473,-0.000896909554949745,0.509729191124889,46.5242035692295,1.91726976575436,0.188077015672046,0.117528652483554,9.358977327402,0.660103476779889,"MM5-1 D 1",35.90591278,0.0579454372,3.174143448,0.435957498392184,NA,NA,NA,NA,NA,NA,NA,8,8,8,TRUE,"NMT"
"5","5","MM5-1","E","1","Paradise Creek","PRD3","Hot","Dry",0.62,2.05,9.96,16.06,24.67,30.8,42.4,34.8,NA,NA,-0.283970108796485,0.351502578482094,-0.00756135154256284,0,0.5,NA,7.8,8,NA,NA,-3.09603200348425,0.195257095688859,-0.000684022853616958,0.752789146143468,44.5562878894828,1.82514578097247,0.170030141460586,0.0259879669193768,8.97011382385989,0.638866132638608,"MM5-1 E 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,TRUE,"PRD"
"6","6","MM5-1","F","1","Rainbow Pool","RBW1","Hot","Dry",3.18,10.72,23.82,38.17,53.88,73.79,84.3,109.9,NA,NA,1.33730939257103,0.265435795336911,-0.0053559020340301,3.1,9,NA,14.2,NA,NA,NA,-3.10534355954352,0.319225662684679,-0.00362424962232916,3.80878176988081,101.775449303676,4.08194448057478,0.136894146520188,2.57542684150112,26.3235261992156,1.69629281126532,"MM5-1 F 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"RBW"
"7","7","MM5-1","G","1","Redwood Creek","RWD7","Hot","Dry",3.16,7.17,16.53,18.93,30.46,39.09,46.5,63.8,NA,NA,1.23517469141811,0.202332566138554,-0.00342995031206288,1.3,2.8,NA,12,NA,NA,NA,-3.18635533388729,0.267568732041935,-0.00226126252015757,3.43897922839263,61.2831482528003,2.41017370935032,0.120013758649045,1.03156867816044,17.8253069225785,1.19955273174415,"MM5-1 G 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"RWD"
"8","8","MM5-1","H","1","Rock Creek","009aN1","Hot","Dry",NA,2.21,11.68,21.17,30.13,46.06,50.4,68.9,NA,NA,0.038475635019298,0.336713905905443,-0.00682686121397527,0.9,2.9,NA,19.2,19.2,NA,NA,-3.405533880309,0.277713498934362,-0.00214729511758052,1.03922540734252,65.8472270695072,2.70033340259019,0.172869236770037,1.00376380118173,22.104651910527,1.50720629352466,"MM5-1 H 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,TRUE,"RCC"
"9","9","MM5-1","I","1","Wawona","186aC2","Hot","Dry",NA,2.26,11.24,17.52,34.16,40.12,65.4,84.2,NA,NA,0.0267380402076547,0.3317941071934,-0.00637487173326834,0.4,2.3,NA,13.5,14.5,NA,NA,-3.29881546023032,0.250685935213012,-0.00167621875803129,1.02709870895463,75.0286840550473,3.08339938942053,0.17879718559496,0.613520144366614,16.4895280540119,1.13400056497466,"MM5-1 I 1",36.047173308,0.0235473004,1.025710226,-0.125356730112492,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WNA"
"10","10","MM5-1","J","1","West Fork Mojave River","WFM9","Hot","Dry",1.07,3.25,8.4,12.58,25.63,38.32,52,66.7,NA,NA,0.185294209427492,0.286114101394816,-0.00506952752305592,1.1,4.8,NA,19.5,21,NA,NA,-3.36868757706594,0.292722261734534,-0.00256491190947412,1.20357249041603,62.301455583579,2.54574512888179,0.164445440841474,1.37817010992805,24.5547239941952,1.65546813459051,"MM5-1 J 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WFM"
"11","11","MM5-1","K","1","Whitewater Canyon","WWC3","Hot","Dry",3.34,6.24,14.64,28.72,42,59.63,80.4,84.2,NA,NA,1.12498420001174,0.248215505784511,-0.00454840693011723,2.2,6.2,NA,15.4,13.5,NA,NA,-2.93491080508653,0.290727032714699,-0.00322153730745475,3.08016818191244,86.6844008920958,3.48350969625764,0.139053739461697,1.93416955925751,18.7219032183678,1.19912383279359,"MM5-1 K 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,TRUE,"WWC"
"12","12","MM5-1","L","1","Cottonwood Creek","370a","Hot","Dry",1.75,3.97,11.2,16.69,32.74,49.3,66.9,73,NA,NA,0.553736208248431,0.275528162523272,-0.00498111662645734,0.8,2.6,NA,13.4,13,NA,NA,-3.1544624615236,0.255690848319848,-0.00202987493878676,1.73974092462755,73.5002591429895,2.99002159243175,0.155981363488296,0.832439432891664,15.7977344007608,1.06894964056208,"MM5-1 L 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"CTC"
"13","13","MM5-1","M","1","Cuyamaca Rancho","CUR1","Hot","Dry",NA,0.72,6.78,13.52,24.81,36.49,52.8,54.2,NA,NA,-1.20534606083198,0.43945377933924,-0.00919498268818527,0.6,2.1,NA,12.5,13,NA,NA,-3.19309332592787,0.247486392303245,-0.00177157206751987,0.29958830579376,57.1245867421464,2.36770826818136,0.218774194822793,0.652337605188463,15.0627685018806,1.02931649262087,"MM5-1 M 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,TRUE,"CUR"
"14","14","MM5-1","N","1","Deep Creek","DPC1","Hot","Dry",2.46,6.45,17.12,25.66,36.69,55.77,65.7,68.7,NA,NA,0.989988281022514,0.26155520758329,-0.00514575309159251,1.4,2.5,NA,12.1,NA,NA,NA,-3.17770215721308,0.266219883378786,-0.00224315421728717,2.69120293401787,73.9478032079215,2.96902501141265,0.13805713338507,1.01327810463622,17.5309632963229,1.17983465654905,"MM5-1 N 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,TRUE,"DPC"
"15","15","MM5-1","A","2","Grade Road Palomar","GRP3","Hot","Dry",3.53,6.99,15.24,30.48,42.19,56.39,72,90.9,NA,NA,1.22023770509561,0.237909678604618,-0.00429603260270795,2,4.7,NA,11.5,11.6,NA,NA,-2.83836195447279,0.272290273426944,-0.00293875182769393,3.38799298110732,86.1039435575256,3.44649794068409,0.134804896139627,1.5632434150542,15.0947964091599,0.966539499578977,"MM5-1 A 2",36.47885666,0.0158056622,-0.8689508812,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"GRP"
"16","16","MM5-1","B","2","Hauser Creek","HAU9","Hot","Dry",1.45,4.53,14.8,23.78,39.27,51.88,91.3,85.7,NA,NA,0.498215450600555,0.314111233467795,-0.00620298852994738,2.4,5.1,NA,15.9,NA,NA,NA,-3.23401490666555,0.303924483495076,-0.00305059356585491,1.64578166985823,86.8309965106809,3.54938395170095,0.165239508749058,1.86073839683006,24.9461611185805,1.64895876583932,"MM5-1 B 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"HAU"
"18","18","MM5-1","D","2","Middle Yuba","MYU5","Hot","Dry",NA,1.58,6.6,10.56,16.38,26.42,31.6,46.4,NA,NA,-0.232956652983668,0.290974426198765,-0.0051643766034014,0.5,2.4,NA,18.7,12.4,NA,NA,-3.28842578155493,0.257469772752787,-0.00185480828986997,0.792187911762427,43.6301599082554,1.78491549985387,0.167029387717131,0.737627643198818,17.3690357470734,1.18795772170532,"MM5-1 D 2",35.415167234,0.3356115066,7.73694907,0.21835457253927,NA,NA,NA,NA,NA,NA,NA,12,17,14.5,TRUE,"MYU"
"19","19","MM5-1","E","2","Mill Creek","MIL9","Hot","Dry",3.03,6.19,16.05,22.2,31.99,53.53,63.7,68.6,NA,NA,1.10487929588498,0.2331755371336,-0.00420434273624863,3.6,7,NA,20.5,25.2,NA,NA,-3.17576601090768,0.324394447815593,-0.00363314726480829,3.01886005798241,72.196442440836,2.88239926595223,0.132271311463632,2.62901057563582,28.6365189706313,1.85767917107111,"MM5-1 E 2",31.288694382,1.0722751296,12.207174724,-0.0587543346288624,NA,NA,NA,NA,NA,NA,56,12,17,14.5,NA,"MIL"
"20","20","MM5-1","F","2","North Fork Middle Tule","NMT2","Hot","Dry",2.69,6.73,16.58,25.8,44.16,57.4,76,81.6,NA,NA,1.03909138115404,0.26132977485593,-0.0050079837569343,0.8,3.8,NA,13.5,13.9,NA,NA,-3.15017174021144,0.264851250729317,-0.002255219471981,2.82664750198348,83.6304203512581,3.36682386871978,0.141138164689506,1.01484263340767,17.0464884441818,1.14511755791244,"MM5-1 F 2",35.93073807,0.0520084884,2.894148825,0.411834058573969,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"NMT"
"21","21","MM5-1","G","2","Paradise Creek","PRD5","Hot","Dry",1.5,4.76,13.27,21.63,36.72,48.74,69,80.4,NA,NA,0.547751413095313,0.296168849603523,-0.00573912410849588,1.4,4.6,NA,17.5,16.7,NA,NA,-3.19311417662327,0.286345619505879,-0.00269792102244467,1.72936002633409,77.4837562089032,3.15643317427371,0.158429870999622,1.4474879682851,20.9968206166495,1.3963809034546,"MM5-1 G 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"PRD"
"23","23","MM5-1","I","2","Redwood Creek","RWD9","Hot","Dry",1.98,4.5,12.36,22.29,34.97,49.32,47.8,82.5,NA,NA,0.709347192271631,0.268258294988493,-0.00500178887706372,1.5,4,NA,19.5,18.5,NA,NA,-3.27208984474195,0.289686299849167,-0.00264935240283583,2.03266388674013,71.2728791732253,2.88500897027022,0.148215361938963,1.42762741575718,22.6215112721908,1.51384884688812,"MM5-1 I 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"RWD"
"24","24","MM5-1","J","2","Rock Creek","004aN1","Hot","Dry",1.91,4.25,11.12,18.78,20.72,26.11,41.3,38.3,NA,NA,0.730102136462368,0.228436261326814,-0.00418225334331304,0,3.6,NA,11.3,11.5,NA,NA,-3.21008120530618,0.241517599164964,-0.00160170127128101,2.07529255989036,44.8621512440428,1.78278577850635,0.128062181087301,0.541608440252256,14.4518609682059,0.993589466282402,"MM5-1 J 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,TRUE,"RCC"
"25","25","MM5-1","K","2","Wawona","184aC2","Hot","Dry",NA,1.61,8.15,15.25,20.13,29.21,44.3,50.7,NA,NA,-0.235663722027782,0.322155698220349,-0.00618152153772962,0,0.1,NA,18.7,17,NA,NA,-3.71069382688193,0.227314976162097,-0.000450426995257594,0.79004630443667,51.1885886629782,2.09993926493923,0.173799181314838,0.0237653666633642,17.2325797823907,1.22920102969481,"MM5-1 K 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WNA"
"26","26","MM5-1","L","2","West Fork Mojave River","WFM7","Hot","Dry",3.69,4.93,9.47,24.27,34.8,40.74,60.3,61.3,NA,NA,1.09341566040341,0.213917928901677,-0.00352068161684842,1.6,5.2,NA,19.7,19.6,NA,NA,-3.2617035135202,0.297756131744436,-0.00285859390519151,2.9844505525476,66.6552186403113,2.65294867032349,0.129421570097315,1.64856262593303,24.0688948258975,1.60145229999746,"MM5-1 L 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WFM"
"27","27","MM5-1","M","2","Whitewater Canyon","WWC9","Hot","Dry",4.21,9.23,19.79,39.43,55.24,71.16,66.7,67.1,NA,NA,1.43513427609565,0.248136279813458,-0.00523226873354202,4,8.6,NA,20.8,NA,NA,NA,-3.27822436973816,0.33915942077112,-0.00381880589934403,4.20020895858445,79.568493253591,3.1403451789586,0.12256183020845,2.99023800085715,34.3693351096551,2.24136407919985,"MM5-1 M 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WWC"
"28","28","MM5-1","N","2","Cottonwood Creek","355a","Hot","Dry",1.32,4.39,13.14,21.85,28.51,56.24,68.9,84.8,NA,NA,0.440344023271727,0.303899701785644,-0.0058383511328112,3.1,7.5,NA,19.4,NA,NA,NA,-3.29794336315047,0.327654331074545,-0.00351251913574621,1.55324147782223,79.1264031490105,3.23221506963284,0.163779274598175,2.51507982523304,31.5836298596645,2.07632500245939,"MM5-1 N 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"CTC"
"29","29","MM5-1","A","3","Cuyamaca Rancho","CUR7","Hot","Dry",2.24,4.88,13.76,22.03,31.52,40.64,44.5,62.5,NA,NA,0.850914591133237,0.247776976970205,-0.00467123575189083,0,1,NA,7.5,8,NA,NA,-3.04892651490754,0.201658656326804,-0.000913103334661639,2.34178765102038,60.7599129675271,2.43408855485445,0.135667318924825,0.122304071589281,9.22667524462041,0.650312226645081,"MM5-1 A 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"CUR"
"30","30","MM5-1","B","3","Deep Creek","DPC1","Hot","Dry",NA,2.31,9.36,17.19,24.38,41.46,47.1,63.1,NA,NA,0.0696392436182072,0.309980893657831,-0.00591521274392106,0.5,3.5,NA,13.4,13.6,NA,NA,-3.20495595658717,0.258392209168052,-0.00201230307708411,1.07212133686579,60.4621863672259,2.47458604293167,0.168015787803726,0.833370378814761,16.6613612034696,1.13057077318963,"MM5-1 B 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"DPC"
"31","31","MM5-1","C","3","Grade Road Palomar","GRP1","Hot","Dry",2.2,4.42,10.23,16.69,27.71,34.96,63.1,73.2,NA,NA,0.76627863452016,0.23196031753725,-0.00366027888760373,0.4,3.2,NA,16.1,16.9,NA,NA,-3.38629537728929,0.265074477887488,-0.0018772194109469,2.1517439104974,68.3748875514063,2.75929765170454,0.144113624234761,0.78149756107578,19.6353491491824,1.34670368486476,"MM5-1 C 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"GRP"
"32","32","MM5-1","D","3","Hauser Creek","HAU3","Hot","Dry",1.96,4.58,10.46,14.15,19.09,27.1,27.9,37.1,NA,NA,0.787515729731732,0.205688635285719,-0.00354840396387097,0.4,2,NA,9.5,11.3,NA,NA,-3.10399038212164,0.233460645082815,-0.00158185507229749,2.19792938763743,39.6528289427914,1.56062081479808,0.120526940152816,0.50333273733058,12.6416401524579,0.867021958223377,"MM5-1 D 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,TRUE,"HAU"
"33","33","MM5-1","E","3","Little Jameson","LIJ3","Hot","Dry",NA,2.01,5.02,11.44,21.27,25.42,20.3,20.3,NA,NA,-0.0726363238326541,0.279500053743551,-0.005686140532047,0,0,NA,2.5,3,NA,NA,-2.48215384772332,0.138712058782562,-0.000332586043322847,0.929938965174939,28.7934525578201,1.16097973302688,0.143032680974423,-0.197614581566289,3.47409808831257,0.262265190705633,"MM5-1 E 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17,14.5,TRUE,"LIJ"
"34","34","MM5-1","F","3","Middle Yuba","MYU3","Hot","Dry",2.27,4.9,13.29,21.83,31.93,52.02,62.9,75.2,NA,NA,0.818939517042286,0.258542433705392,-0.00471980788318051,1.8,5.1,NA,22.5,20.4,NA,NA,-3.29525939319282,0.303435242607858,-0.00293950640311152,2.26809328742744,74.0950393902148,2.99278942094947,0.14526704450906,1.75556466214942,25.7455331475633,1.71356917752956,"MM5-1 F 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,TRUE,"MYU"
"35","35","MM5-1","G","3","Mill Creek","MIL5","Hot","Dry",NA,1.75,8.82,15.98,19.35,30.93,41.7,41.5,NA,NA,-0.132196875802591,0.315613861130525,-0.00623740598793003,0.5,2.6,NA,19.2,21.4,NA,NA,-3.54300485642459,0.273075997161209,-0.00181357005640881,0.876168481725034,46.9831930126641,1.92112602212246,0.165916117420205,0.777424397989044,23.0349790899936,1.58982533514318,"MM5-1 G 3",33.56531067,0.2636090878,4.5276237174,-0.165042820952034,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"MIL"
"36","36","MM5-1","H","3","North Fork Middle Tule","NMT4","Hot","Dry",NA,1.58,8.58,15.45,23.15,39.73,56.5,80.3,NA,NA,-0.341285841534101,0.347769159798413,-0.00655806343185647,0,2.3,NA,17.5,19,NA,NA,-3.6029940631742,0.256406693045492,-0.00131879681565571,0.710855687083155,68.561383732262,2.82710533521579,0.190375637433857,0.454682172873313,20.7203515698284,1.44754781406822,"MM5-1 H 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"NMT"
"38","38","MM5-1","J","3","Rainbow Pool","RBW3","Hot","Dry",2.77,5.18,13.9,19.58,27.81,39.78,69.5,100.7,NA,NA,0.995815808413967,0.220794052022038,-0.00329863456154183,0.8,4.2,NA,21.2,21.2,NA,NA,-3.45958116643599,0.288868791789763,-0.00232549118597544,2.70693177845501,81.0332488027122,3.26359654267738,0.141626822545034,1.1795563376358,25.0639816891233,1.7060303822491,"MM5-1 J 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,TRUE,"RBW"
