Site,Group,Demography,PopGenomics,Lat,Lon,Elev,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,tmin_1,tmin_10,tmin_11,tmin_12,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmax_1,tmax_10,tmax_11,tmax_12,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmean_1,tmean_10,tmean_11,tmean_12,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,tmean_7,tmean_8,tmean_9,prec_1,prec_10,prec_11,prec_12,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
Cottonwood Creek,South Margin,yes,no,32.608422,-116.700412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuyamaca Rancho,South Margin,yes,yes,32.89928,-116.5849,1223,129,207,65,616,115,3,78,325,31,43,296,149,49,5671,302,-1,303,70,176,0,58,20,-1,6,14,31,57,97,135,132,103,122,223,162,128,136,146,176,210,261,302,301,275,61,140,91,63,71,80,103,133,179,218,216,189,107,24,67,86,103,115,51,17,3,11,17,15
Deep Creek,North Coast,yes,yes,41.66546,-123.11341,694,108,193,28,801,151,7,76,420,39,39,397,173,48,6534,323,-36,359,31,193,-36,19,-7,-30,-22,-9,5,33,69,93,87,54,76,213,117,70,113,140,177,227,274,323,318,280,20,116,55,20,45,65,91,130,171,208,202,167,141,58,128,151,105,86,43,28,17,7,15,22
Grade Road Palomar,South Margin,no,no,33.31392,-116.87129,1500,124,204,60,722,127,3,79,376,33,50,357,138,47,5793,293,0,293,64,173,0,65,24,1,4,7,24,56,101,138,137,106,116,212,153,118,126,131,163,201,255,293,289,262,58,138,88,59,65,69,93,128,178,215,213,184,126,23,85,108,123,127,59,18,3,12,18,20
Hauser Creek,South Margin,yes,yes,32.65822,-116.53235,892,145,219,85,438,82,2,78,232,20,33,210,170,53,5277,326,10,316,90,188,13,69,33,10,17,26,39,62,90,129,132,108,152,250,190,158,165,173,204,238,285,326,325,298,82,159,111,84,91,99,121,150,187,227,228,203,79,18,48,60,71,82,35,10,2,8,14,11
Little Jameson,North Sierras,yes,yes,39.74298,-120.70401,1592,81,165,7,1115,198,7,75,541,43,43,536,154,45,6318,278,-57,335,15,165,-57,12,-22,-49,-48,-36,-17,15,53,78,76,47,59,180,99,63,75,91,130,181,233,278,272,236,1,96,38,7,13,27,56,98,143,178,174,141,198,77,166,177,161,152,72,43,22,7,14,26
Middle Yuba,North Sierras,yes,yes,39.39442,-121.08302,425.196,140,221,64,1213,253,1,83,639,19,19,639,148,44,6269,330,1,329,64,221,1,70,33,7,19,30,51,82,116,139,132,110,109,233,154,111,137,155,192,241,290,330,322,292,55,151,93,59,78,92,121,161,203,234,227,201,253,78,165,207,179,159,96,39,13,1,5,18
Mill Creek,Transverse,yes,no,34.07808,-116.87558,1992,88,168,20,686,120,4,74,343,40,47,337,159,48,5962,269,-56,325,24,143,-56,15,-25,-51,-46,-36,-14,16,57,95,91,59,88,186,125,92,95,105,139,185,239,269,261,232,16,100,50,20,24,34,62,100,148,182,176,145,120,22,79,104,113,110,50,18,4,18,25,23
North Fork Middle Tule,South Sierras,yes,no,36.20081,-118.65092,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise Creek,South Sierras,yes,yes,36.51776,-118.75877,887,150,242,68,568,109,2,81,295,12,12,291,149,43,6939,343,0,343,79,242,0,86,33,1,13,29,53,93,136,172,167,132,127,244,168,128,144,163,198,248,302,343,337,300,63,165,100,64,78,96,125,170,219,257,252,216,109,23,71,86,96,90,49,16,6,2,4,16
Rainbow Pool,Central Sierras,yes,no,37.8188,-120.0074333,862.2792,132,218,56,947,171,3,82,477,19,22,477,152,46,6470,325,-5,330,56,217,-5,64,20,-3,2,12,34,68,105,137,134,107,109,231,151,106,131,145,179,229,281,325,321,286,52,147,85,51,66,78,106,148,193,231,227,196,171,46,134,163,143,137,92,28,11,3,5,14
Redwood Creek,South Sierras,yes,yes,36.69096,-118.90961,1683.72,97,179,29,807,155,3,82,418,16,16,413,130,43,6117,271,-30,301,32,179,-30,45,0,-27,-26,-20,2,41,84,119,113,84,84,179,116,85,90,98,127,173,228,271,264,229,27,112,58,29,32,39,64,107,156,195,188,156,155,34,102,123,135,128,69,23,8,3,5,22
Rock Creek,North Margin,yes,yes,43.37375,-122.9575,311.2008,106,176,42,1466,252,15,65,704,84,84,615,133,46,5319,279,-4,283,45,176,-4,42,22,0,4,12,25,48,79,91,92,69,76,183,107,73,107,129,161,199,239,279,279,247,36,112,64,36,55,70,93,123,159,185,185,158,211,112,252,241,163,169,110,74,42,15,27,50
Wawona,Central Sierras,yes,yes,37.539,-119.654,1208,118,204,43,967,173,4,80,480,22,29,480,151,45,6470,310,-20,330,43,204,-20,52,6,-19,-11,-2,20,54,93,126,122,94,97,216,138,97,118,129,164,211,265,310,308,269,38,134,72,39,53,63,92,132,179,218,215,181,173,48,138,148,159,144,84,31,13,4,5,20
West Fork Mojave River,Transverse,yes,no,34.28425,-117.37539,1087,136,222,61,611,114,2,85,327,14,28,315,157,47,6366,324,-10,334,69,219,-10,68,20,-7,0,13,34,66,104,146,143,115,122,233,165,126,139,155,190,233,285,324,318,287,56,150,92,59,69,84,112,149,194,235,230,201,114,19,79,91,110,103,49,16,2,3,9,16
Whitewater Canyon,Transverse,yes,yes,33.99329,-116.66267,696,179,264,103,296,50,2,67,140,18,36,140,170,48,6433,376,27,349,112,238,27,105,56,28,38,50,72,106,143,179,178,150,167,281,212,170,189,203,242,286,339,376,369,336,97,193,134,99,113,126,157,196,241,277,273,243,50,12,33,44,46,44,21,8,2,8,13,15
