DayN,ActualDate,SimulatedDate,Tmin_cool,Tavg_cool,Tmax_cool,Tmin_hot,Tavg_hot,Tmax_hot,WaterFreq_wet,WaterFreq_dry,LERmeas,SERmeas,PhotoMeas,Harvest
0,14-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1,15-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2,16-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
3,17-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
4,18-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
5,19-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
6,20-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
7,21-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
8,22-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
9,23-Apr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
10,24-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
11,25-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
12,26-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
13,27-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
14,28-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
15,29-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
16,30-Apr-14,NA,16,18.7,20,16,18.7,20,12,12,FALSE,FALSE,FALSE,FALSE
17,01-May-14,01-Jun-14,1.6,8.2,15,15.3,21.5,33.8,12,12,FALSE,FALSE,FALSE,FALSE
18,02-May-14,02-Jun-14,0.9,5.9,11.9,14.9,20.1,30.5,12,12,FALSE,FALSE,FALSE,FALSE
19,03-May-14,03-Jun-14,-0.6,6,15.2,15,22.2,30.8,12,12,FALSE,FALSE,FALSE,FALSE
20,04-May-14,04-Jun-14,0.9,6.2,12.6,15.3,23,33.6,12,12,FALSE,FALSE,FALSE,FALSE
21,05-May-14,05-Jun-14,4.9,6.8,13.4,15.4,22.8,31.8,12,12,FALSE,FALSE,FALSE,FALSE
22,06-May-14,06-Jun-14,3.4,9.5,16.9,12.2,21.1,30.8,12,12,FALSE,FALSE,FALSE,FALSE
23,07-May-14,07-Jun-14,8.1,14,20.9,14.3,22.1,30.7,12,12,FALSE,FALSE,FALSE,FALSE
24,08-May-14,08-Jun-14,12.9,18.5,27.8,18.2,25.1,34.7,12,12,FALSE,FALSE,FALSE,FALSE
25,09-May-14,09-Jun-14,13.8,22.2,31.4,20.7,26.9,36.4,12,12,FALSE,FALSE,FALSE,FALSE
26,10-May-14,10-Jun-14,15.7,24.1,34.4,21.5,28.3,38.9,12,12,FALSE,FALSE,FALSE,FALSE
27,11-May-14,11-Jun-14,14,21.7,30.1,19.5,27.1,37.6,12,12,FALSE,FALSE,FALSE,FALSE
28,12-May-14,12-Jun-14,10.8,18.1,25.4,20,27.1,36.5,12,12,TRUE,FALSE,FALSE,FALSE
29,13-May-14,13-Jun-14,10.1,16.2,25.7,19.4,25.9,36.2,12,12,TRUE,FALSE,FALSE,FALSE
30,14-May-14,14-Jun-14,7.3,11.7,19.1,15.1,22.6,34.5,12,12,TRUE,FALSE,FALSE,FALSE
31,15-May-14,15-Jun-14,3.1,9.1,15.5,13.5,21.3,30.6,12,12,TRUE,FALSE,FALSE,FALSE
32,16-May-14,16-Jun-14,4.1,9.5,15.9,10.5,18.6,28.1,12,12,TRUE,FALSE,FALSE,FALSE
