"","indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt","variable","LLL","Day","DayN"
"1","1","MM5-1","A","1","Little Jameson","LIJ9","Hot","Dry","LLL_0512",1.97,2014-05-12,0
"3","3","MM5-1","C","1","Mill Creek","MIL3","Hot","Dry","LLL_0512",4.12,2014-05-12,0
"5","5","MM5-1","E","1","Paradise Creek","PRD3","Hot","Dry","LLL_0512",0.62,2014-05-12,0
"6","6","MM5-1","F","1","Rainbow Pool","RBW1","Hot","Dry","LLL_0512",3.18,2014-05-12,0
"7","7","MM5-1","G","1","Redwood Creek","RWD7","Hot","Dry","LLL_0512",3.16,2014-05-12,0
"10","10","MM5-1","J","1","West Fork Mojave River","WFM9","Hot","Dry","LLL_0512",1.07,2014-05-12,0
"11","11","MM5-1","K","1","Whitewater Canyon","WWC3","Hot","Dry","LLL_0512",3.34,2014-05-12,0
"12","12","MM5-1","L","1","Cottonwood Creek","370a","Hot","Dry","LLL_0512",1.75,2014-05-12,0
"14","14","MM5-1","N","1","Deep Creek","DPC1","Hot","Dry","LLL_0512",2.46,2014-05-12,0
"15","15","MM5-1","A","2","Grade Road Palomar","GRP3","Hot","Dry","LLL_0512",3.53,2014-05-12,0
"16","16","MM5-1","B","2","Hauser Creek","HAU9","Hot","Dry","LLL_0512",1.45,2014-05-12,0
"19","19","MM5-1","E","2","Mill Creek","MIL9","Hot","Dry","LLL_0512",3.03,2014-05-12,0
"20","20","MM5-1","F","2","North Fork Middle Tule","NMT2","Hot","Dry","LLL_0512",2.69,2014-05-12,0
"21","21","MM5-1","G","2","Paradise Creek","PRD5","Hot","Dry","LLL_0512",1.5,2014-05-12,0
"22","23","MM5-1","I","2","Redwood Creek","RWD9","Hot","Dry","LLL_0512",1.98,2014-05-12,0
"23","24","MM5-1","J","2","Rock Creek","004aN1","Hot","Dry","LLL_0512",1.91,2014-05-12,0
"25","26","MM5-1","L","2","West Fork Mojave River","WFM7","Hot","Dry","LLL_0512",3.69,2014-05-12,0
"26","27","MM5-1","M","2","Whitewater Canyon","WWC9","Hot","Dry","LLL_0512",4.21,2014-05-12,0
"27","28","MM5-1","N","2","Cottonwood Creek","355a","Hot","Dry","LLL_0512",1.32,2014-05-12,0
"28","29","MM5-1","A","3","Cuyamaca Rancho","CUR7","Hot","Dry","LLL_0512",2.24,2014-05-12,0
"30","31","MM5-1","C","3","Grade Road Palomar","GRP1","Hot","Dry","LLL_0512",2.2,2014-05-12,0
"31","32","MM5-1","D","3","Hauser Creek","HAU3","Hot","Dry","LLL_0512",1.96,2014-05-12,0
"33","34","MM5-1","F","3","Middle Yuba","MYU3","Hot","Dry","LLL_0512",2.27,2014-05-12,0
"36","38","MM5-1","J","3","Rainbow Pool","RBW3","Hot","Dry","LLL_0512",2.77,2014-05-12,0
"37","39","MM5-1","K","3","Redwood Creek","RWD2","Hot","Dry","LLL_0512",4.24,2014-05-12,0
"39","41","MM5-1","M","3","Wawona","190aC2","Hot","Dry","LLL_0512",1.98,2014-05-12,0
"40","42","MM5-1","N","3","West Fork Mojave River","WFM5","Hot","Dry","LLL_0512",1.79,2014-05-12,0
"41","43","MM5-1","A","4","Whitewater Canyon","WWC7","Hot","Dry","LLL_0512",2.2,2014-05-12,0
"42","44","MM5-1","B","4","Cottonwood Creek","346a","Hot","Dry","LLL_0512",1.78,2014-05-12,0
"44","46","MM5-1","D","4","Deep Creek","DPC5","Hot","Dry","LLL_0512",2.6,2014-05-12,0
"45","47","MM5-1","E","4","Grade Road Palomar","GRP5","Hot","Dry","LLL_0512",1.81,2014-05-12,0
"46","48","MM5-1","F","4","Hauser Creek","HAU7","Hot","Dry","LLL_0512",2.69,2014-05-12,0
"48","50","MM5-1","H","4","Middle Yuba","MYU1","Hot","Dry","LLL_0512",1.78,2014-05-12,0
"50","52","MM5-1","J","4","North Fork Middle Tule","NMT6","Hot","Dry","LLL_0512",2.87,2014-05-12,0
"53","55","MM5-1","M","4","Redwood Creek","RWD5","Hot","Dry","LLL_0512",1.35,2014-05-12,0
"54","56","MM5-1","N","4","Rock Creek","012aN1","Hot","Dry","LLL_0512",2.03,2014-05-12,0
"55","57","MM5-1","A","5","Wawona","188aC2","Hot","Dry","LLL_0512",2.75,2014-05-12,0
"56","58","MM5-1","B","5","West Fork Mojave River","WFM1","Hot","Dry","LLL_0512",4.37,2014-05-12,0
"57","59","MM5-1","C","5","Whitewater Canyon","WWC5","Hot","Dry","LLL_0512",2.87,2014-05-12,0
"60","62","MM5-1","F","5","Deep Creek","DPC3","Hot","Dry","LLL_0512",3.65,2014-05-12,0
"62","65","MM5-1","I","5","Little Jameson","LIJ1","Hot","Dry","LLL_0512",1.39,2014-05-12,0
"63","66","MM5-1","J","5","Middle Yuba","MYU1","Hot","Dry","LLL_0512",1.92,2014-05-12,0
"64","67","MM5-1","K","5","Mill Creek","MIL11","Hot","Dry","LLL_0512",4.75,2014-05-12,0
"65","68","MM5-1","L","5","North Fork Middle Tule","NMT1","Hot","Dry","LLL_0512",2.22,2014-05-12,0
"66","69","MM5-1","M","5","Paradise Creek","PRD6","Hot","Dry","LLL_0512",1.34,2014-05-12,0
"68","71","MM5-1","A","6","Redwood Creek","RWD1","Hot","Dry","LLL_0512",2.84,2014-05-12,0
"69","72","MM5-1","B","6","Rock Creek","006aN1","Hot","Dry","LLL_0512",3.3,2014-05-12,0
"71","74","MM5-1","D","6","West Fork Mojave River","WFM11","Hot","Dry","LLL_0512",4.73,2014-05-12,0
"72","75","MM5-1","E","6","Whitewater Canyon","WWC11","Hot","Dry","LLL_0512",1.77,2014-05-12,0
"74","77","MM5-1","G","6","Cuyamaca Rancho","CUR5","Hot","Dry","LLL_0512",2.25,2014-05-12,0
"75","78","MM5-1","H","6","Deep Creek","DPC5","Hot","Dry","LLL_0512",4.55,2014-05-12,0
"79","82","MM5-1","M","6","Mill Creek","MIL7","Hot","Dry","LLL_0512",5.72,2014-05-12,0
"82","85","MM5-1","C","7","Redwood Creek","RWD4","Hot","Dry","LLL_0512",2.78,2014-05-12,0
"83","86","MM5-1","D","7","Rock Creek","001aN1","Hot","Dry","LLL_0512",0.8,2014-05-12,0
"84","87","MM5-1","E","7","Wawona","192aC2","Hot","Dry","LLL_0512",1.66,2014-05-12,0
"85","88","MM5-1","F","7","West Fork Mojave River","WFM3","Hot","Dry","LLL_0512",1.39,2014-05-12,0
"86","89","MM5-1","G","7","Whitewater Canyon","WWC1","Hot","Dry","LLL_0512",3.89,2014-05-12,0
"87","90","MM5-1","H","7","Cottonwood Creek","347a","Hot","Dry","LLL_0512",1.24,2014-05-12,0
"88","91","MM5-1","I","7","Cuyamaca Rancho","CUR3","Hot","Dry","LLL_0512",3.28,2014-05-12,0
"90","93","MM5-1","L","7","Hauser Creek","HAU5","Hot","Dry","LLL_0512",3.8,2014-05-12,0
"91","97","MM5-2","A","1","Hauser Creek","HAU12","Hot","Dry","LLL_0512",4.01,2014-05-12,0
"94","100","MM5-2","D","1","Mill Creek","MIL12","Hot","Dry","LLL_0512",4.93,2014-05-12,0
"101","107","MM5-2","K","1","West Fork Mojave River","WFM8","Hot","Dry","LLL_0512",1.99,2014-05-12,0
"102","108","MM5-2","L","1","Whitewater Canyon","WWC4","Hot","Dry","LLL_0512",1.63,2014-05-12,0
"103","109","MM5-2","M","1","Cottonwood Creek","362a","Hot","Dry","LLL_0512",1.37,2014-05-12,0
"104","110","MM5-2","N","1","Cuyamaca Rancho","CUR6","Hot","Dry","LLL_0512",0.9,2014-05-12,0
"108","114","MM5-2","D","2","Little Jameson","LIJ8","Hot","Dry","LLL_0512",1.38,2014-05-12,0
"111","117","MM5-2","G","2","North Fork Middle Tule","NMT5","Hot","Dry","LLL_0512",2.9,2014-05-12,0
"112","118","MM5-2","H","2","Paradise Creek","PRD7","Hot","Dry","LLL_0512",3.02,2014-05-12,0
"114","120","MM5-2","J","2","Redwood Creek","RWD8","Hot","Dry","LLL_0512",1.13,2014-05-12,0
"116","122","MM5-2","L","2","Wawona","193aC2","Hot","Dry","LLL_0512",0.67,2014-05-12,0
"117","123","MM5-2","M","2","West Fork Mojave River","WFM6","Hot","Dry","LLL_0512",1.4,2014-05-12,0
"118","124","MM5-2","N","2","Whitewater Canyon","WWC10","Hot","Dry","LLL_0512",2.38,2014-05-12,0
"119","125","MM5-2","A","3","Cottonwood Creek","348a","Hot","Dry","LLL_0512",2.13,2014-05-12,0
"121","127","MM5-2","C","3","Deep Creek","DPC2","Hot","Dry","LLL_0512",3.9,2014-05-12,0
"124","130","MM5-2","F","3","Little Jameson","LIJ4","Hot","Dry","LLL_0512",2,2014-05-12,0
"125","131","MM5-2","G","3","Middle Yuba","MYU2","Hot","Dry","LLL_0512",1.08,2014-05-12,0
"126","132","MM5-2","H","3","Mill Creek","MIL2","Hot","Dry","LLL_0512",4.74,2014-05-12,0
"127","133","MM5-2","I","3","North Fork Middle Tule","NMT3","Hot","Dry","LLL_0512",2.12,2014-05-12,0
"133","139","MM5-2","A","4","West Fork Mojave River","WFM2","Hot","Dry","LLL_0512",1.04,2014-05-12,0
"134","140","MM5-2","B","4","Whitewater Canyon","WWC8","Hot","Dry","LLL_0512",2.93,2014-05-12,0
"139","147","MM5-2","I","4","Middle Yuba","MYU2","Hot","Dry","LLL_0512",2.58,2014-05-12,0
"140","149","MM5-2","K","4","North Fork Middle Tule","NMT1","Hot","Dry","LLL_0512",1.65,2014-05-12,0
"141","150","MM5-2","L","4","Rainbow Pool","RBW2","Hot","Dry","LLL_0512",2.41,2014-05-12,0
"143","153","MM5-2","A","5","Wawona","187aC2","Hot","Dry","LLL_0512",2.87,2014-05-12,0
"144","154","MM5-2","B","5","West Fork Mojave River","WFM10","Hot","Dry","LLL_0512",2.56,2014-05-12,0
"145","155","MM5-2","C","5","Whitewater Canyon","WWC6","Hot","Dry","LLL_0512",1.03,2014-05-12,0
"146","156","MM5-2","D","5","Cottonwood Creek","361a","Hot","Dry","LLL_0512",1.04,2014-05-12,0
"147","157","MM5-2","E","5","Cuyamaca Rancho","CUR10","Hot","Dry","LLL_0512",1.14,2014-05-12,0
"151","161","MM5-2","I","5","Little Jameson","LIJ10","Hot","Dry","LLL_0512",1.27,2014-05-12,0
"152","162","MM5-2","J","5","Middle Yuba","MYU4","Hot","Dry","LLL_0512",0.85,2014-05-12,0
"153","163","MM5-2","K","5","Mill Creek","MIL10","Hot","Dry","LLL_0512",2.01,2014-05-12,0
"154","164","MM5-2","L","5","North Fork Middle Tule","NMT8","Hot","Dry","LLL_0512",0.96,2014-05-12,0
"155","166","MM5-2","N","5","Rainbow Pool","RBW2","Hot","Dry","LLL_0512",2.26,2014-05-12,0
"156","167","MM5-2","A","6","Redwood Creek","RWD7","Hot","Dry","LLL_0512",1.85,2014-05-12,0
"158","170","MM5-2","D","6","West Fork Mojave River","WFM4","Hot","Dry","LLL_0512",2.32,2014-05-12,0
"159","171","MM5-2","E","6","Whitewater Canyon","WWC12","Hot","Dry","LLL_0512",2.01,2014-05-12,0
"160","172","MM5-2","F","6","Cottonwood Creek","364a","Hot","Dry","LLL_0512",4.54,2014-05-12,0
"161","173","MM5-2","G","6","Cuyamaca Rancho","CUR12","Hot","Dry","LLL_0512",1.55,2014-05-12,0
"162","174","MM5-2","H","6","Deep Creek","DPC2","Hot","Dry","LLL_0512",1.22,2014-05-12,0
"163","175","MM5-2","I","6","Grade Road Palomar","GRP4","Hot","Dry","LLL_0512",2.9,2014-05-12,0
"165","178","MM5-2","M","6","Mill Creek","MIL4","Hot","Dry","LLL_0512",1.73,2014-05-12,0
"167","180","MM5-2","A","7","Paradise Creek","PRD4","Hot","Dry","LLL_0512",5.74,2014-05-12,0
"168","181","MM5-2","B","7","Rainbow Pool","RBW4","Hot","Dry","LLL_0512",1.86,2014-05-12,0
"170","183","MM5-2","D","7","Rock Creek","005aN1","Hot","Dry","LLL_0512",4.23,2014-05-12,0
"172","185","MM5-2","F","7","West Fork Mojave River","WFM12","Hot","Dry","LLL_0512",1.91,2014-05-12,0
"173","186","MM5-2","G","7","Whitewater Canyon","WWC2","Hot","Dry","LLL_0512",3.44,2014-05-12,0
"174","187","MM5-2","H","7","Cottonwood Creek","371a","Hot","Dry","LLL_0512",3.66,2014-05-12,0
"175","188","MM5-2","I","7","Cuyamaca Rancho","CUR4","Hot","Dry","LLL_0512",1,2014-05-12,0
"177","190","MM5-2","K","7","Grade Road Palomar","GRP4","Hot","Dry","LLL_0512",2.95,2014-05-12,0
"178","191","MM5-2","K","6","Little Jameson","LIJ12","Hot","Dry","LLL_0512",1.34,2014-05-12,0
"179","194","MM5-3","B","1","Mill Creek","MIL7","Hot","Wet","LLL_0512",1.51,2014-05-12,0
"181","196","MM5-3","D","1","Paradise Creek","PRD1","Hot","Wet","LLL_0512",2.74,2014-05-12,0
"183","198","MM5-3","F","1","Redwood Creek","RWD9","Hot","Wet","LLL_0512",0.95,2014-05-12,0
"185","200","MM5-3","H","1","Wawona","186aC2","Hot","Wet","LLL_0512",2.88,2014-05-12,0
"186","202","MM5-3","J","1","Whitewater Canyon","WWC5","Hot","Wet","LLL_0512",1.43,2014-05-12,0
"187","203","MM5-3","K","1","Cottonwood Creek","346a","Hot","Wet","LLL_0512",1.23,2014-05-12,0
"189","205","MM5-3","M","1","Deep Creek","DPC5","Hot","Wet","LLL_0512",3.57,2014-05-12,0
"190","206","MM5-3","N","1","Grade Road Palomar","GRP1","Hot","Wet","LLL_0512",2.58,2014-05-12,0
"191","207","MM5-3","A","2","Hauser Creek","HAU3","Hot","Wet","LLL_0512",2.35,2014-05-12,0
"192","208","MM5-3","B","2","Little Jameson","LIJ3","Hot","Wet","LLL_0512",1.87,2014-05-12,0
"197","213","MM5-3","G","2","Rainbow Pool","RBW1","Hot","Wet","LLL_0512",3.29,2014-05-12,0
"198","214","MM5-3","H","2","Redwood Creek","RWD5","Hot","Wet","LLL_0512",0.96,2014-05-12,0
"199","215","MM5-3","I","2","Rock Creek","004aN1","Hot","Wet","LLL_0512",2.81,2014-05-12,0
"202","218","MM5-3","L","2","Whitewater Canyon","WWC3","Hot","Wet","LLL_0512",3.29,2014-05-12,0
"204","220","MM5-3","N","2","Cuyamaca Rancho","CUR3","Hot","Wet","LLL_0512",5.62,2014-05-12,0
"205","221","MM5-3","A","3","Deep Creek","DPC3","Hot","Wet","LLL_0512",1.02,2014-05-12,0
"206","222","MM5-3","B","3","Grade Road Palomar","GRP7","Hot","Wet","LLL_0512",1.72,2014-05-12,0
"209","225","MM5-3","E","3","Middle Yuba","MYU3","Hot","Wet","LLL_0512",1.44,2014-05-12,0
"210","226","MM5-3","F","3","Mill Creek","MIL5","Hot","Wet","LLL_0512",1.09,2014-05-12,0
"211","227","MM5-3","G","3","North Fork Middle Tule","NMT7","Hot","Wet","LLL_0512",3.37,2014-05-12,0
"213","229","MM5-3","I","3","Rainbow Pool","RBW3","Hot","Wet","LLL_0512",2.34,2014-05-12,0
"214","230","MM5-3","J","3","Redwood Creek","RWD2","Hot","Wet","LLL_0512",5.59,2014-05-12,0
"217","233","MM5-3","M","3","West Fork Mojave River","WFM1","Hot","Wet","LLL_0512",2.92,2014-05-12,0
"218","234","MM5-3","N","3","Whitewater Canyon","WWC11","Hot","Wet","LLL_0512",1.07,2014-05-12,0
"219","235","MM5-3","A","4","Cottonwood Creek","355a","Hot","Wet","LLL_0512",2.5,2014-05-12,0
"221","238","MM5-3","D","4","Grade Road Palomar","GRP3","Hot","Wet","LLL_0512",1.27,2014-05-12,0
"222","239","MM5-3","E","4","Hauser Creek","HAU11","Hot","Wet","LLL_0512",2.32,2014-05-12,0
"223","240","MM5-3","F","4","Little Jameson","LIJ7","Hot","Wet","LLL_0512",1.08,2014-05-12,0
"225","242","MM5-3","H","4","Mill Creek","MIL1","Hot","Wet","LLL_0512",3.97,2014-05-12,0
"229","246","MM5-3","L","4","Redwood Creek","RWD7","Hot","Wet","LLL_0512",2.65,2014-05-12,0
"231","248","MM5-3","N","4","Wawona","188aC2","Hot","Wet","LLL_0512",2.93,2014-05-12,0
"232","249","MM5-3","A","5","West Fork Mojave River","WFM9","Hot","Wet","LLL_0512",2.56,2014-05-12,0
"233","250","MM5-3","B","5","Whitewater Canyon","WWC9","Hot","Wet","LLL_0512",1.3,2014-05-12,0
"235","252","MM5-3","D","5","Cuyamaca Rancho","CUR7","Hot","Wet","LLL_0512",1.61,2014-05-12,0
"237","254","MM5-3","F","5","Grade Road Palomar","GRP5","Hot","Wet","LLL_0512",2.87,2014-05-12,0
"238","255","MM5-3","G","5","Hauser Creek","HAU5","Hot","Wet","LLL_0512",2.31,2014-05-12,0
"241","258","MM5-3","J","5","Mill Creek","MIL3","Hot","Wet","LLL_0512",2.89,2014-05-12,0
"243","260","MM5-3","L","5","Paradise Creek","PRD5","Hot","Wet","LLL_0512",1.78,2014-05-12,0
"248","265","MM5-3","C","6","West Fork Mojave River","WFM3","Hot","Wet","LLL_0512",3.71,2014-05-12,0
"250","267","MM5-3","E","6","Cottonwood Creek","370a","Hot","Wet","LLL_0512",1.73,2014-05-12,0
"251","268","MM5-3","F","6","Cuyamaca Rancho","CUR9","Hot","Wet","LLL_0512",1.35,2014-05-12,0
"252","269","MM5-3","G","6","Deep Creek","DPC1","Hot","Wet","LLL_0512",1.38,2014-05-12,0
"253","270","MM5-3","H","6","Grade Road Palomar","GRP3","Hot","Wet","LLL_0512",2,2014-05-12,0
"255","272","MM5-3","J","6","Little Jameson","LIJ9","Hot","Wet","LLL_0512",1.68,2014-05-12,0
"256","273","MM5-3","L","6","Mill Creek","MIL11","Hot","Wet","LLL_0512",1.32,2014-05-12,0
"257","274","MM5-3","M","6","North Fork Middle Tule","NMT1","Hot","Wet","LLL_0512",2.28,2014-05-12,0
"258","275","MM5-3","N","6","Paradise Creek","PRD6","Hot","Wet","LLL_0512",3.45,2014-05-12,0
