"indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt"
"1","MM5-1","A","1","Little Jameson","LIJ9","Hot","Dry"
"2","MM5-1","B","1","Middle Yuba","MYU3","Hot","Dry"
"3","MM5-1","C","1","Mill Creek","MIL3","Hot","Dry"
"4","MM5-1","D","1","North Fork Middle Tule","NMT7","Hot","Dry"
"5","MM5-1","E","1","Paradise Creek","PRD3","Hot","Dry"
"6","MM5-1","F","1","Rainbow Pool","RBW1","Hot","Dry"
"7","MM5-1","G","1","Redwood Creek","RWD7","Hot","Dry"
"8","MM5-1","H","1","Rock Creek","009aN1","Hot","Dry"
"9","MM5-1","I","1","Wawona","186aC2","Hot","Dry"
"10","MM5-1","J","1","West Fork Mojave River","WFM9","Hot","Dry"
"11","MM5-1","K","1","Whitewater Canyon","WWC3","Hot","Dry"
"12","MM5-1","L","1","Cottonwood Creek","370a","Hot","Dry"
"13","MM5-1","M","1","Cuyamaca Rancho","CUR1","Hot","Dry"
"14","MM5-1","N","1","Deep Creek","DPC1","Hot","Dry"
"15","MM5-1","A","2","Grade Road Palomar","GRP3","Hot","Dry"
"16","MM5-1","B","2","Hauser Creek","HAU9","Hot","Dry"
"17","MM5-1","C","2","Little Jameson","LIJ11","Hot","Dry"
"18","MM5-1","D","2","Middle Yuba","MYU5","Hot","Dry"
"19","MM5-1","E","2","Mill Creek","MIL9","Hot","Dry"
"20","MM5-1","F","2","North Fork Middle Tule","NMT2","Hot","Dry"
"21","MM5-1","G","2","Paradise Creek","PRD5","Hot","Dry"
"23","MM5-1","I","2","Redwood Creek","RWD9","Hot","Dry"
"24","MM5-1","J","2","Rock Creek","004aN1","Hot","Dry"
"25","MM5-1","K","2","Wawona","184aC2","Hot","Dry"
"26","MM5-1","L","2","West Fork Mojave River","WFM7","Hot","Dry"
"27","MM5-1","M","2","Whitewater Canyon","WWC9","Hot","Dry"
"28","MM5-1","N","2","Cottonwood Creek","355a","Hot","Dry"
"29","MM5-1","A","3","Cuyamaca Rancho","CUR7","Hot","Dry"
"30","MM5-1","B","3","Deep Creek","DPC1","Hot","Dry"
"31","MM5-1","C","3","Grade Road Palomar","GRP1","Hot","Dry"
"32","MM5-1","D","3","Hauser Creek","HAU3","Hot","Dry"
"33","MM5-1","E","3","Little Jameson","LIJ3","Hot","Dry"
"34","MM5-1","F","3","Middle Yuba","MYU3","Hot","Dry"
"35","MM5-1","G","3","Mill Creek","MIL5","Hot","Dry"
"36","MM5-1","H","3","North Fork Middle Tule","NMT4","Hot","Dry"
"38","MM5-1","J","3","Rainbow Pool","RBW3","Hot","Dry"
"39","MM5-1","K","3","Redwood Creek","RWD2","Hot","Dry"
"40","MM5-1","L","3","Rock Creek","014aN1","Hot","Dry"
"41","MM5-1","M","3","Wawona","190aC2","Hot","Dry"
"42","MM5-1","N","3","West Fork Mojave River","WFM5","Hot","Dry"
"43","MM5-1","A","4","Whitewater Canyon","WWC7","Hot","Dry"
"44","MM5-1","B","4","Cottonwood Creek","346a","Hot","Dry"
"45","MM5-1","C","4","Cuyamaca Rancho","CUR9","Hot","Dry"
"46","MM5-1","D","4","Deep Creek","DPC5","Hot","Dry"
"47","MM5-1","E","4","Grade Road Palomar","GRP5","Hot","Dry"
"48","MM5-1","F","4","Hauser Creek","HAU7","Hot","Dry"
"49","MM5-1","G","4","Little Jameson","LIJ5","Hot","Dry"
