"Latitude","Longitude"
37.79816,-120.068153
37.89761,-121.945534
37.32274,-121.666481
37.10023,-121.472847
36.35814,-120.786377
36.23088,-120.574333
36.23716,-121.480148
36.18827,-118.669678
35.81593,-121.356796
35.51782,-118.51651
35.42347,-120.743446
39.8298,-122.632919
34.75998,-119.953812
34.52839,-120.172493
34.45708,-119.653503
34.43958,-119.08149
34.07867,-118.699661
34.08467,-118.573463
33.78829,-116.886719
33.38498,-116.794968
38.79599,-120.775833
38.5068,-120.848
38.5484,-122.722031
38.49136,-120.503563
37.15761,-118.333397
35.97921,-118.417709
34.50208,-119.351387
38.25797,-120.578903
37.63516,-119.933258
37.06745,-122.230797
36.70656,-119.011353
34.70284,-119.917542
42.94444,-123.718964
42.29813,-123.730957
42.57239,-124.045898
41.87669,-123.802078
39.87476,-123.734283
38.6799,-120.416107
42.27662,-123.365784
42.11517,-123.08786
41.6682,-123.110481
39.23211,-122.655853
38.9953,-123.549362
38.99341,-123.434517
38.16599,-120.076698
37.4393,-119.634003
37.22764,-119.458656
36.30124,-121.573418
40.82426,-121.932663
39.38229,-122.550987
43.6519,-123.087547
32.6575,-116.532356
39.71216,-121.274796
41.876755,-123.800667
37.823395,-119.863571
37.9022,-120.3274
38.1807,-119.979401
34.267372,-118.366959
39.225,-122.708336
39.25,-122.708336
39.234869,-122.700867
37.9854,-120.019699
33.353558,-116.913849
33.336944,-116.936111
34.076897,-116.8489
34.217233,-118.175827
34.308417,-117.359619
39.882778,-122.53389
32.87028,-116.733063
33.096388,-116.66333
33.11861,-116.894997
33.2628,-116.809998
34.492061,-120.142578
34.413589,-118.65757
33.23164,-116.801498
33.001191,-116.75769
32.6868,-116.773804
33.059547,-117.104393
34.234343,-118.306076
39.382222,-122.551666
39.807222,-121.436668
33.070529,-116.545586
32.97424,-116.532928
33.771666,-116.766663
34.143516,-117.708702
42.053494,-123.162582
42.23343,-123.185043
43.66,-123.079803
42.2752,-123.639503
32.678568,-116.671341
34.8983,-118.837997
32.932911,-116.574669
32.78167,-116.793327
32.691388,-117.008331
34.356944,-117.84861
37.857,-119.863998
36.520993,-118.893372
37.203371,-119.413872
37.261384,-119.355255
37.399157,-119.336174
38.32084,-120.226768
38.566821,-120.440628
38.680357,-120.417198
38.785585,-120.213585
38.950897,-120.485733
38.9574,-120.486168
38.998341,-120.552727
39.00674,-120.747543
39.01917,-120.518517
39.12205,-120.492416
39.29823,-121.087662
39.39442,-121.083023
39.51165,-120.978706
39.99982,-121.269882
40.43141,-123.98378
40.48902,-123.980202
40.769902,-123.126656
41.296585,-123.359894
41.378904,-123.464218
41.533102,-123.527
42.57281,-124.047417
32.70993,-116.613548
33.714796,-117.580734
33.227959,-116.946968
32.8825,-116.898003
33.350447,-116.604904
33.419444,-117.320557
34.381944,-117.771111
34.347368,-117.910553
38.782889,-119.811157
34.266209,-117.463074
34.13491,-117.778481
34.157747,-117.777908
34.235972,-117.496635
34.422027,-117.839249
33.809861,-116.775276
34.16767,-117.229134
38.510277,-122.232498
38.70065,-119.843536
37.64236,-119.925041
40.062597,-121.196671
41.253557,-123.645287
40.658949,-122.915573
39.22791,-123.364365
40.944082,-123.632233
42.462809,-124.347702
42.92731,-123.27626
38.511466,-122.097473
39.75837,-120.694733
38.269104,-120.347374
38.093574,-120.042313
37.98401,-120.205109
36.15358,-118.732353
36.515372,-118.802338
34.27427,-117.452347
35.60615,-118.54895
33.091769,-116.536232
34.06511,-118.932793
32.80122,-116.501938
32.641399,-116.587387
32.89913,-116.586472
32.76154,-116.451622
36.589099,-118.826477
34.133326,-118.292465
33.027535,-116.686539
33.381463,-117.57827
33.733988,-117.680992
33.37881,-117.461113
33.752169,-117.569962
34.347439,-117.810402
32.77839,-116.442757
39.74279,-120.703941
41.8093,-123.119667
36.51774,-118.759064
37.81879,-120.007378
43.38255,-122.944588
37.83533,-120.043762
37.64211,-119.924187
37.54066,-119.649422
